c_nuber;JP Partner;C_year;Status;C_title;s_date;Responsabl;F_date;PCode;PName;L_PName;PName;L_PName;Planed_amo;Amo_Province;Sector;X;Y;Sector
366048;European Union;2015;Ongoing;Verification mission on Administration Agreement DCI-ASIE/2008/147-718 concerning the Multi-Donor Trust Fund for Trade Development Facility (TF No.070918);11.01.2015;XAYTHANITH KALAKATE;31.08.2017;1;Vientiane Capital;???????????????;Vientiane Capital;???????????????;19220;19220;Private sector development ;244231,412;2007885,134;Private sector development 
335574;European Union;2014;Ongoing;Expanding the ChildSafe Network in Lao PDR;05.07.2014;SETHANAPHAIXANH PHONESAVANH;31.10.2018;1;Vientiane Capital;???????????????;Vientiane Capital;???????????????;256216;128108;Governance;244231,412;2007885,134;Governance
335574;European Union;2014;Ongoing;Expanding the ChildSafe Network in Lao PDR;05.07.2014;SETHANAPHAIXANH PHONESAVANH;31.10.2018;6;Louangphabang;?????????;Luangprabang;?. ???????????;256216;128108;Governance;243140,5795;2226599,839;Governance
366991;European Union;2015;Ongoing;Support Facility for EU Budget Support Operations in Lao PDR;30.12.2015;HYJEK JULIANNA;31.05.2019;1;Vientiane Capital;???????????????;Vientiane Capital;???????????????;259772;259772;Governance;244231,412;2007885,134;Governance
354910;European Union;2014;Ongoing;Food and Nutrition Security Expert - Multi-sectoral Approaches to Nutrition;17.12.2014;EVERAERT KOEN;16.05.2018;4;Oudomxai;???????;Oudomxay;?. ?????????;269572;67393;Nutrition ;157846,0655;2262655,681;Nutrition 
354910;European Union;2014;Ongoing;Food and Nutrition Security Expert - Multi-sectoral Approaches to Nutrition;17.12.2014;EVERAERT KOEN;16.05.2018;3;Louangnamtha;?????????;Luangnamtha;?. ???????????;269572;67393;Nutrition ;97807,1837;2314345,448;Nutrition 
354910;European Union;2014;Ongoing;Food and Nutrition Security Expert - Multi-sectoral Approaches to Nutrition;17.12.2014;EVERAERT KOEN;16.05.2018;14;Salavan;???????;Saravane;?. ?????????;269572;67393;Nutrition ;635910,2719;1753017,198;Nutrition 
354910;European Union;2014;Ongoing;Food and Nutrition Security Expert - Multi-sectoral Approaches to Nutrition;17.12.2014;EVERAERT KOEN;16.05.2018;10;Vientiane;??????;Vientiane;?. ???????;269572;67393;Nutrition ;196432,3932;2062692,358;Nutrition 
306708;European Union;2012;Ongoing;Project for strengthening health services for mother and Children in rural community in Oudomxay Province, Lao PDR;02.01.2013;SETHANAPHAIXANH PHONESAVANH;30.09.2017;4;Oudomxai;???????;Oudomxay;?. ?????????;269754;269754;Nutrition ;157846,0655;2262655,681;Nutrition 
371799;European Union;2016;Ongoing;Together for Children’s Rights;02.01.2016;MAILLOT AUDREY;02.01.2020;11;Bolikhamxai;????????;Borikhamxay;?. ???????????;275430;91810;Governance;423001,918;2044726,932;Governance
371799;European Union;2016;Ongoing;Together for Children’s Rights;02.01.2016;MAILLOT AUDREY;02.01.2020;6;Louangphabang;?????????;Luangprabang;?. ???????????;275430;91810;Governance;243140,5795;2226599,839;Governance
371799;European Union;2016;Ongoing;Together for Children’s Rights;02.01.2016;MAILLOT AUDREY;02.01.2020;1;Vientiane Capital;???????????????;Vientiane Capital;???????????????;275430;91810;Governance;244231,412;2007885,134;Governance
306710;European Union;2013;Ongoing;Improving the Life of Vulnerable Ethnic People in Longsane District;09.10.2013;SETHANAPHAIXANH PHONESAVANH;28.02.2019;18;Xaisomboun;????????;Saysomboun;?. ??????????;288000;288000;Governance;299003,152;2088254,915;Governance
349424;European Union;2014;Ongoing;Support to Public Diplomacy Outreach in Laos;01.12.2015;HYJEK JULIANNA;07.11.2018;1;Vientiane Capital;???????????????;Vientiane Capital;???????????????;299956;299956;Governance;244231,412;2007885,134;Governance
337274;European Union;2014;Ongoing;Promoting gender equality through the Rule of Law and Good Governance;08.01.2014;MAILLOT AUDREY;31.01.2019;1;Vientiane Capital;???????????????;Vientiane Capital;???????????????;299982;99994;Governance;244231,412;2007885,134;Governance
337274;European Union;2014;Ongoing;Promoting gender equality through the Rule of Law and Good Governance;08.01.2014;MAILLOT AUDREY;31.01.2019;10;Vientiane;??????;Vientiane;?. ???????;299982;99994;Governance;196432,3932;2062692,358;Governance
337274;European Union;2014;Ongoing;Promoting gender equality through the Rule of Law and Good Governance;08.01.2014;MAILLOT AUDREY;31.01.2019;16;Champasak;???????;Champasack;?. ?????????;299982;99994;Governance;602995,4303;1633379,012;Governance
